timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2017-10-05,23.7797,23.8000,23.5600,23.5900,23.5900,14285,0.0000,1.0000
2017-10-04,23.8000,23.8200,23.7000,23.7000,23.7000,15962,0.0000,1.0000
2017-10-03,23.8536,23.8557,23.7100,23.7300,23.7300,8993,0.0000,1.0000
2017-10-02,23.7900,23.9399,23.7501,23.8500,23.8500,9872,0.0000,1.0000
2017-09-29,23.9000,23.9500,23.8000,23.8000,23.8000,5398,0.0000,1.0000
2017-09-28,23.7800,23.9400,23.7300,23.9300,23.9300,25164,0.0000,1.0000
2017-09-27,23.8900,23.9200,23.7000,23.9000,23.9000,31946,0.0000,1.0000
2017-09-26,23.8000,23.9000,23.7100,23.8900,23.8900,34644,0.0000,1.0000
2017-09-25,23.8800,23.9100,23.7900,23.8700,23.8700,4917,0.0000,1.0000
2017-09-22,23.8800,23.8800,23.7900,23.8450,23.8450,6985,0.0000,1.0000
2017-09-21,23.7100,23.9350,23.7000,23.9000,23.9000,17976,0.0000,1.0000
2017-09-20,23.7500,23.7500,23.7000,23.7200,23.7200,35258,0.0000,1.0000
2017-09-19,23.7779,23.8400,23.7779,23.7964,23.7964,9541,0.0000,1.0000
2017-09-18,23.9140,23.9140,23.7638,23.8004,23.8004,4318,0.0000,1.0000
2017-09-15,23.9000,23.9500,23.8058,23.8329,23.8329,10924,0.0000,1.0000
2017-09-14,23.9300,23.9300,23.8545,23.9100,23.9100,8836,0.0000,1.0000
2017-09-13,23.9063,23.9600,23.8878,23.9099,23.9099,17307,0.0000,1.0000
2017-09-12,23.7500,23.9700,23.7500,23.9700,23.9700,17296,0.0000,1.0000
2017-09-11,23.6200,23.8699,23.6200,23.8076,23.8076,15514,0.0000,1.0000
2017-09-08,23.8100,23.8200,23.5700,23.6499,23.6499,8308,0.0000,1.0000
2017-09-07,23.7100,23.8500,23.7100,23.7700,23.7700,7919,0.0000,1.0000
2017-09-06,23.7400,23.8800,23.6900,23.8800,23.8800,6633,0.0000,1.0000
2017-09-05,23.7750,23.9400,23.5400,23.5900,23.5900,11511,0.0000,1.0000
2017-09-01,23.6800,23.8400,23.6100,23.7750,23.7750,12508,0.0000,1.0000
2017-08-31,23.7900,23.8396,23.6200,23.6700,23.6700,27834,0.0000,1.0000
2017-08-30,23.9405,23.9500,23.6900,23.8600,23.8600,9337,0.0000,1.0000
2017-08-29,23.8400,23.8900,23.7210,23.8900,23.8900,8891,0.0000,1.0000
2017-08-28,23.7089,23.9600,23.6500,23.8400,23.8400,21614,0.0000,1.0000
2017-08-25,23.7500,23.9500,23.6700,23.7300,23.7300,16584,0.0000,1.0000
2017-08-24,23.5400,23.9600,23.5400,23.8200,23.8200,42532,0.0000,1.0000
2017-08-23,23.5000,23.7400,23.5000,23.7200,23.7200,17870,0.0000,1.0000
2017-08-22,23.8700,23.8700,23.5200,23.5900,23.5900,17883,0.0000,1.0000
2017-08-21,23.6154,23.7000,23.5400,23.6500,23.6500,7815,0.0000,1.0000
2017-08-18,23.8400,23.8499,23.5610,23.6499,23.6499,4335,0.0000,1.0000
2017-08-17,23.7517,23.7517,23.4500,23.4500,23.4500,2912,0.0000,1.0000
2017-08-16,23.5500,23.8000,23.5500,23.6270,23.6270,10505,0.0000,1.0000
2017-08-15,23.5300,23.6700,23.5300,23.6452,23.6452,6617,0.0000,1.0000
2017-08-14,23.3700,23.6318,23.3700,23.5300,23.5300,6020,0.0000,1.0000
