,items,support,ordered_statistics
0,frozenset({'cpos'}),0.8387096774193549,"[OrderedStatistic(items_base=frozenset(), items_add=frozenset({'cpos'}), confidence=0.8387096774193549, lift=1.0)]"
1,frozenset({'fpos'}),0.9032258064516129,"[OrderedStatistic(items_base=frozenset(), items_add=frozenset({'fpos'}), confidence=0.9032258064516129, lift=1.0)]"
2,frozenset({'nasde'}),0.6008064516129032,"[OrderedStatistic(items_base=frozenset(), items_add=frozenset({'nasde'}), confidence=0.6008064516129032, lift=1.0)]"
3,frozenset({'nasin'}),0.39919354838709675,"[OrderedStatistic(items_base=frozenset(), items_add=frozenset({'nasin'}), confidence=0.39919354838709675, lift=1.0)]"
4,frozenset({'sp5de'}),0.5161290322580645,"[OrderedStatistic(items_base=frozenset(), items_add=frozenset({'sp5de'}), confidence=0.5161290322580645, lift=1.0)]"
5,frozenset({'sp5in'}),0.4838709677419355,"[OrderedStatistic(items_base=frozenset(), items_add=frozenset({'sp5in'}), confidence=0.4838709677419355, lift=1.0)]"
6,"frozenset({'fpos', 'cpos'})",0.7459677419354839,"[OrderedStatistic(items_base=frozenset({'cpos'}), items_add=frozenset({'fpos'}), confidence=0.8894230769230769, lift=0.9847184065934066), OrderedStatistic(items_base=frozenset({'fpos'}), items_add=frozenset({'cpos'}), confidence=0.8258928571428572, lift=0.9847184065934066)]"
7,"frozenset({'cpos', 'nasde'})",0.5040322580645161,"[OrderedStatistic(items_base=frozenset({'cpos'}), items_add=frozenset({'nasde'}), confidence=0.6009615384615384, lift=1.0002581311306142), OrderedStatistic(items_base=frozenset({'nasde'}), items_add=frozenset({'cpos'}), confidence=0.8389261744966443, lift=1.0002581311306142)]"
8,"frozenset({'nasin', 'cpos'})",0.3346774193548387,"[OrderedStatistic(items_base=frozenset({'cpos'}), items_add=frozenset({'nasin'}), confidence=0.3990384615384615, lift=0.9996114996114996), OrderedStatistic(items_base=frozenset({'nasin'}), items_add=frozenset({'cpos'}), confidence=0.8383838383838383, lift=0.9996114996114995)]"
9,"frozenset({'cpos', 'sp5de'})",0.4274193548387097,"[OrderedStatistic(items_base=frozenset({'cpos'}), items_add=frozenset({'sp5de'}), confidence=0.5096153846153846, lift=0.9873798076923076), OrderedStatistic(items_base=frozenset({'sp5de'}), items_add=frozenset({'cpos'}), confidence=0.828125, lift=0.9873798076923077)]"
10,"frozenset({'sp5in', 'cpos'})",0.4112903225806452,"[OrderedStatistic(items_base=frozenset({'cpos'}), items_add=frozenset({'sp5in'}), confidence=0.4903846153846154, lift=1.0134615384615384), OrderedStatistic(items_base=frozenset({'sp5in'}), items_add=frozenset({'cpos'}), confidence=0.85, lift=1.0134615384615384)]"
